english,javanese,en_length,jv_length,length_ratio
Tom has a pegging fetish.,Tom nduweni fetish pegging.,5,4,1.25
Tom enjoys being pegged.,Tom seneng dipegged.,4,3,1.3333333333333333
What's your favourite video game genre?,Apa genre video game favoritmu?,6,5,1.2
"This quest can have many outcomes, depending on the choices you make.","Pencarian iki bisa nduweni akeh asil, gumantung saka pilihan sing sampeyan gawe.",12,12,1.0
Mary drew a lot of tentacle porn.,Mary nggambar akeh porno tentakel.,7,5,1.4
Tom has a small penis humiliation fetish.,Tom nduweni fetish penghinaan penis cilik.,7,6,1.1666666666666667
Mary sat on Tom's face.,Mary lungguh ing raine Tom.,5,5,1.0
Mary likes futanari porn the best.,Mary paling seneng porno futanari.,6,5,1.2
Mary likes futa porn the best.,Mary paling seneng porno futa.,6,5,1.2
This game has unskippable cutscenes.,Game iki nduweni cutscene sing ora bisa dilewati.,5,8,0.625
You can't skip cutscenes in this game.,Sampeyan ora bisa nglewati cutscene ing game iki.,7,8,0.875
"Tom didn't have a girlfriend or a boyfriend, but he did have a Fleshlight.","Tom ora duwe pacar utawa pacar, nanging dheweke duwe Fleshlight.",14,10,1.4
I can see why Tom is turned on by vore hentai.,Aku ngerti kenapa Tom kepincut karo vore hentai.,11,8,1.375
Mary found Tom's pee fetish disgusting.,Mary nganggep fetish kencing Tom njijiki.,6,6,1.0
Airships are a common trope in steampunk works.,Airship minangka trope umum ing karya steampunk.,8,7,1.1428571428571428
"When Mary wasn't home, Tom would watch scat porn.","Nalika Mary ora ana ing omah, Tom bakal nonton scat porno.",9,11,0.8181818181818182
Tom became concerned about Mary's scat fetish.,Tom dadi kuwatir babagan fetish scat Mary.,7,7,1.0
Mary is a dominatrix.,Mary iku dominatrix.,4,3,1.3333333333333333
"Tom has a sex dungeon, complete with a functioning sex machine.","Tom duwe penjara seks, lengkap karo mesin seks sing bisa digunakake.",11,11,1.0
Mary prefers flat-chested women.,Mary luwih seneng wanita dada rata.,4,6,0.6666666666666666
"This outfit is sexy, but unrealistic.","Sandhangan iki seksi, nanging ora realistis.",6,6,1.0
Mary sat on the Sybian.,Mary lungguh ing Sybian.,5,4,1.25
"To get to the next platform, you'll have to double-jump.","Kanggo tekan platform sabanjure, sampeyan kudu mlumpat kaping pindho.",10,9,1.1111111111111112
It's impossible to get onto that ledge without rocket jumping.,Ora mungkin tekan pinggir kasebut tanpa mlumpat roket.,10,8,1.25
Tom fellated the banana.,Tom ngethok gedhang kasebut.,4,4,1.0
Tom wanted Mary to give him head.,Tom pengin Mary menehi sirahe.,7,5,1.4
Tom told Mary about his rape fantasies.,Tom ngandhani Mary babagan fantasi rudapeksa.,7,6,1.1666666666666667
Tom gifted Mary a vibrator on her birthday.,Tom menehi Mary vibrator ing ulang tahune.,8,7,1.1428571428571428
Mary stuck a dildo up Tom's ass.,Mary masang dildo ing bokonge Tom.,7,6,1.1666666666666667
"Tom likes Mary, and he would like to see her as often as possible.","Tom seneng karo Mary, lan dheweke pengin ketemu dheweke sabisa-bisane.",14,10,1.4
She kissed me.,Dheweke ngambung aku.,3,3,1.0
I can not believe that sentence had not yet been added to Tatoeba's corpus.,Aku ora percaya yen ukara kasebut durung ditambahake ing korpus Tatoeba.,14,11,1.2727272727272727
See what you've done!,Deloken apa sing wis koklakoni!,4,5,0.8
Tom has already been to all European capital cities.,Tom wis tau menyang kabeh kutha krajan Eropa.,9,8,1.125
I am working hard at studying German vocabulary.,Aku lagi kerja keras sinau kosakata basa Jerman.,8,8,1.0
I am against this trip.,Aku ora setuju karo lelungan iki.,5,6,0.8333333333333334
Tom is older than we all.,Tom luwih tuwa tinimbang kita kabeh.,6,6,1.0
Tom is the oldest of us.,Tom sing paling tuwa ing antarane kita.,6,7,0.8571428571428571
What is the title of this movie?,Apa judhul film iki?,7,4,1.75
"After the game is installed, replace the original .exe file with the cracked .exe.","Sawise game wis diinstal, ganti file .exe asline nganggo .exe sing wis di-crack.",14,13,1.0769230769230769
"I don't want the full game, I just want the crack for it.","Aku ora pengin game lengkap, aku mung pengin crack-e.",13,9,1.4444444444444444
"Despite being released with strong DRM, the game got cracked within a week.","Senajan dirilis nganggo DRM sing kuwat, game kasebut wis di-crack sajrone seminggu.",13,12,1.0833333333333333
Mary's group was the first to crack the game.,Klompoke Mary sing pertama nge-crack game kasebut.,9,7,1.2857142857142858
"To get the best performance out of the game, remember to upgrade your graphics drivers.","Kanggo entuk kinerja paling apik saka game kasebut, elinga kanggo nganyarke driver grafis sampeyan.",15,14,1.0714285714285714
The latest Nvidia driver seems to be bricking certain graphics cards.,Driver Nvidia paling anyar koyone ngrusak kertu grafis tartamtu.,11,9,1.2222222222222223
I will hold off on installing it.,Aku bakal nundha instalasine.,7,4,1.75
My computer crashed while installing the driver and now my hardware is bricked.,Komputerku rusak nalika nginstal driver lan saiki hardwareku rusak.,13,9,1.4444444444444444
Mary rolled back to a previous version of the driver.,Mary bali menyang versi driver sadurunge.,10,6,1.6666666666666667
Tom accidentally broke off a capacitor on his motherboard.,Tom ora sengaja ngrusak kapasitor ing motherboard.,9,7,1.2857142857142858
Tom inserted a memory stick into the RAM slot.,Tom masang memory stick menyang slot RAM.,9,7,1.2857142857142858
Mary inserted a stick of RAM into the RAM slot.,Mary masang RAM stick menyang slot RAM.,10,7,1.4285714285714286
This is a very old game and its graphics have aged quite a bit.,Iki game lawas banget lan grafise wis rada tuwa.,14,9,1.5555555555555556
"The gameplay in that game has not aged very well, I wouldn't recommend playing it.","Gameplay ing game kasebut durung tuwa banget, aku ora nyaranake mainake.",15,11,1.3636363636363635
My inventory is almost full.,Inventarisku meh kebak.,5,3,1.6666666666666667
Tom is older than the rest of us.,Tom luwih tuwa tinimbang kita kabeh.,8,6,1.3333333333333333
Mary wrote a text adventure game.,Mary nulis game petualangan teks.,6,5,1.2
Mary designed a text adventure game.,Mary ngrancang game petualangan teks.,6,5,1.2
Mary programmed a video game.,Mary ngprogram game video.,5,4,1.25
The game was mainly developed by Crystal Dynamics while Eidos-Montréal handled the multiplayer.,Game iki utamane dikembangake dening Crystal Dynamics dene Eidos-Montréal nangani multiplayer.,13,11,1.1818181818181819
This new game supports couch co-op.,Game anyar iki ndhukung co-op sofa.,6,6,1.0
You should come play!,Kowe kudu melu main!,4,4,1.0
This RPG supports both local and online multiplayer.,RPG iki ndhukung multiplayer lokal lan online.,8,7,1.1428571428571428
"Mary's latest game is very moving, but I have to admit it's not very fun.","Game paling anyar saka Mary pancen nyentuh ati, nanging aku kudu ngakoni yen ora nyenengake.",15,15,1.0
"Tom was low on health, but he found a health pack just in time.","Tom kurang kesehatan, nanging dheweke nemokake paket kesehatan pas wektune.",14,10,1.4
"Hold down the Tab key to open the weapon wheel, then move your mouse in the direction of the weapon you want.","Pencet tombol Tab kanggo mbukak rodha senjata, banjur obahake mouse menyang arah senjata sing dikarepake.",22,15,1.4666666666666666
"In role-playing games, Tom always picks female characters, given the choice.","Ing game role-playing, Tom mesthi milih karakter wanita, diwenehi pilihan.",11,10,1.1
"In her first playthrough, Mary played as a male character.","Ing playthrough pertamane, Mary main minangka karakter pria.",10,8,1.25
"In her second, she played as a female character.","Ing playthrough kapindhone, dheweke main minangka karakter wanita.",9,8,1.125
Mary livestreams games on Twitch.,Mary streaming langsung game ing Twitch.,5,6,0.8333333333333334
Mary's Twitch stream has many followers.,Stream Twitch Mary duwe akeh pengikut.,6,6,1.0
Tom records video walkthroughs of games.,Tom ngrekam walkthrough video game.,6,5,1.2
"As far as Tom was concerned, Bloodborne was his Game of the Year.","Kanggo Tom, Bloodborne kuwi Game of the Year-e.",13,8,1.625
"Rime was originally supposed to be an exclusive for the PS4, but now it's multi-platform.","Rime asline kudune eksklusif kanggo PS4, nanging saiki wis dadi multi-platform.",15,11,1.3636363636363635
Dishonored: Death of the Outsider is the latest entry in the Dishonored franchise.,Dishonored: Death of the Outsider kuwi entri paling anyar ing franchise Dishonored.,13,12,1.0833333333333333
Tom preferred games based on new IPs over sequels and remakes.,Tom luwih seneng game adhedhasar IP anyar tinimbang sekuel lan remake.,11,11,1.0
Tom preferred games based on new intellectual properties over sequels and remakes.,Tom luwih seneng game adhedhasar properti intelektual anyar tinimbang sekuel lan remake.,12,12,1.0
You need a full party to tackle that dungeon.,Sampeyan butuh partai lengkap kanggo ngatasi penjara bawah tanah kuwi.,9,10,0.9
"If you try to solo it, you'll get screwed.","Yen sampeyan nyoba main solo, sampeyan bakal kacau.",9,8,1.125
I can't believe Tom solo'ed that dungeon.,Aku ora percaya Tom main solo ing penjara bawah tanah kuwi.,7,11,0.6363636363636364
This game has a beautiful overworld.,Game iki nduweni overworld sing apik banget.,6,7,0.8571428571428571
I love the overworld music in this game.,Aku seneng musik overworld ing game iki.,8,7,1.1428571428571428
Mary described her game as an open world first-person shooter with RPG mechanics.,Mary nggambarake game kasebut minangka penembak wong pertama ing donya terbuka kanthi mekanik RPG.,13,14,0.9285714285714286
Mary's character was a busty amazon.,Karakter Mary yaiku amazon sing gedhe.,6,6,1.0
Tom typically plays as a rogue.,Tom biasane main minangka bajingan.,6,5,1.2
This is his first time playing as a wizard.,Iki pisanane main minangka penyihir.,9,5,1.8
Mary was in an incestuous relationship with her brother Tom.,Mary ana ing hubungan incest karo kakange Tom.,10,8,1.25
You cannot save the game at this moment.,Sampeyan ora bisa nyimpen game kasebut saiki.,8,7,1.1428571428571428
You cannot save the game right now.,Kowé ora isa nyimpen game iki saiki.,7,7,1.0
I like tennis better than I like soccer.,Aku luwih seneng tenis tinimbang bal-balan.,8,6,1.3333333333333333
I need to go feed the chickens.,Aku kudu menehi pakan pitik.,7,5,1.4
We must change the rules.,Kita kudu ngganti aturan.,5,4,1.25
"For this, I really think we can make it.","Kanggo iki, aku pancen mikir kita isa sukses.",9,8,1.125
It's a pleasure working with Tatoeba when it works.,Seneng banget bisa kerja bareng karo Tatoeba nalika wis sukses.,9,10,0.9
The growth of wages does not keep up with inflation.,Tuwuhing gaji ora ngimbangi inflasi.,10,5,2.0
This latest scene release comes with a keygen.,Rilis adegan paling anyar iki dilengkapi keygen.,8,7,1.1428571428571428
Tom turned off the anti-aliasing option.,Tom mateni opsi anti-aliasing.,6,4,1.5
"With anti-aliasing turned off, expect to see a lot of jagged edges.","Kanthi anti-aliasing dipateni, sampeyan bakal weruh akeh pinggiran sing ora rata.",12,11,1.0909090909090908
"To set the Texture Resolution to Ultra, you will require at least 8 GB of VRAM.","Kanggo nyetel Resolusi Tekstur dadi Ultra, sampeyan butuh paling ora 8 GB VRAM.",16,13,1.2307692307692308
Older games did not have downloadable content.,Game lawas ora duwe konten sing bisa diunduh.,7,8,0.875
They only had patches and expansion packs.,Game kasebut mung duwe patch lan paket ekspansi.,7,8,0.875
Tom had a Moscow Mule.,Tom duwe Moscow Mule.,5,4,1.25
Mary considered herself a gamer.,Mary nganggep awake dhewe minangka gamer.,5,6,0.8333333333333334
Tom hated the word 'gamer'.,Tom sengit karo tembung 'gamer'.,5,5,1.0
This game was created using the Unity engine.,Game iki digawe nggunakake mesin Unity.,8,6,1.3333333333333333
Unreal Engine is named after the first game to use it.,Unreal Engine dijenengi miturut game pertama sing nggunakake.,11,8,1.375
"After careful deliberation, the developers decided to use CryENGINE for their upcoming game.","Sawise dipikir-pikir kanthi tliti, para pengembang mutusake kanggo nggunakake CryENGINE kanggo game sing bakal teka.",13,15,0.8666666666666667
It is said that games developed in Unity have terrible framerates on consoles.,Konon game sing dikembangake ing Unity duwe framerate sing elek banget ing konsol.,13,13,1.0
This is something to imitate!,Iki kudu ditiru!,5,3,1.6666666666666667
A parrot can imitate the human voice.,Beo bisa niru swara manungsa.,7,5,1.4
"If something is fashionable, everyone wants to imitate it.","Yen ana sing modis, kabeh wong pengin niru.",9,8,1.125
"Do not pelt your dog with stones, so the neighbors will not imitate you.","Aja mbuwang watu menyang asu sampeyan, supaya tangga teparo ora niru sampeyan.",14,12,1.1666666666666667
The chimpanzee is a friendly and clever animal that can quickly imitate and learn many things.,Simpanse minangka kewan sing ramah lan pinter sing bisa cepet niru lan sinau akeh perkara.,16,15,1.0666666666666667
Mary cannot have children.,Mary ora bisa duwe anak.,4,5,0.8
"Maria just smiled at this insult, and you should, too.","Maria mung mesem nalika krungu penghinaan iki, lan kowe uga kudune mesem.",10,12,0.8333333333333334
Is it still going to rain today?,Apa isih bakal udan dina iki?,7,6,1.1666666666666667
Beware of the appearance.,Ati-ati karo penampilane.,4,3,1.3333333333333333
I had a suit tailored for me.,Aku wis nggawe jas kanggo aku.,7,6,1.1666666666666667
I had the tailor make a suit for me.,Aku njaluk tukang jait nggawe jas kanggo aku.,9,8,1.125
Mary intends not to give birth to more than two children.,Mary ora niat nglairake luwih saka rong anak.,11,8,1.375
Who will be the first to live until the birth of his great-great-great-grandson?,Sapa sing bakal urip dhisik nganti lair buyute?,13,8,1.625
I cannot keep you company.,Aku ora bisa ngancani kowe.,5,5,1.0
I'm short of money.,Aku kekurangan dhuwit.,4,3,1.3333333333333333
It's hard to learn.,Angel sinau.,4,2,2.0
I see your horse.,Aku weruh jaranmu.,4,3,1.3333333333333333
The frost was such that the birds fell on the fly.,Embun beku banget nganti manuk-manuk padha mabur.,11,7,1.5714285714285714
Yesterday I went to the zoo and saw a huge walrus.,Wingi aku menyang kebon binatang lan weruh walrus gedhe.,11,9,1.2222222222222223
"The shell fell into the ammunition depot, which provoked a series of explosions.","Selongsong kasebut tiba ing gudang amunisi, sing nyebabake serangkaian bledosan.",13,10,1.3
Take advantage of the moment!,Manfaatake wektu iki!,5,3,1.6666666666666667
I love such moments.,Aku seneng wektu kaya ngono.,4,5,0.8
He is impeccable.,Dheweke pancen tanpa cacat.,3,4,0.75
Tom desperately tries to escape his responsibility.,Tom kanthi nekat nyoba uwal saka tanggung jawabe.,7,8,0.875
You are going to play football tomorrow.,Kowe arep main bal-balan sesuk.,7,5,1.4
Are you going to use this?,Apa kowe arep nggunakake iki?,6,5,1.2
Will you use this?,Apa kowe bakal nggunakake iki?,4,5,0.8
Tom's birthday was the day before yesterday.,Ulang tahune Tom wingi.,7,4,1.75
Reading books ceased to be a privilege of a minority.,Maca buku wis ora dadi hak istimewa kanggo minoritas.,10,9,1.1111111111111112
"If you were to come with a reasonable offer, I'd give you my consent.","Yen sampeyan teka kanthi tawaran sing cukup, aku bakal menehi idin.",14,11,1.2727272727272727
Images are the books of the illiterate.,Gambar iku bukune wong sing buta huruf.,7,7,1.0
Do you want to open up your own restaurant?,Apa sampeyan pengin mbukak restoran dhewe?,9,6,1.5
You people are urged to drop the earthly impulse.,Kowe kabeh dijaluk supaya ora nuruti hawa nepsu donya.,9,9,1.0
The guy has a fever.,Wong lanang mau demam.,5,4,1.25
She looks older.,Dheweke katon luwih tuwa.,3,4,0.75
I need your clothes and your bicycle.,Aku butuh klambi lan sepedamu.,7,5,1.4
My grandmother got sick the other week.,Mbah putriku lara minggu kepungkur.,7,5,1.4
My favorite Italian actor is Adriano Celentano.,Aktor Italia favoritku yaiku Adriano Celentano.,7,6,1.1666666666666667
This program is very user-friendly.,Program iki gampang banget digunakake.,5,5,1.0
This program is very easy to use.,Program iki gampang banget digunakake.,7,5,1.4
"If you truly know yourself, you would not be hurt by what others about you.","Yen sampeyan pancen ngerti awake dhewe, sampeyan ora bakal lara karo apa sing ditindakake wong liya babagan sampeyan.",15,18,0.8333333333333334
He's in Paris.,Dheweke ana ing Paris.,3,4,0.75
The drugs on the shelf can be freely sold.,Obat-obatan ing rak bisa didol kanthi bebas.,9,7,1.2857142857142858
I will go weekend shopping with my daughter.,Aku bakal blanja akhir minggu karo putriku.,8,7,1.1428571428571428
I will do my weekend shopping with my daughter.,Aku bakal blanja akhir minggu karo putriku.,9,7,1.2857142857142858
This must always be here; this is the place for it.,Iki kudu tansah ana ing kene; iki panggonane.,11,8,1.375
Have you understood it?,Apa sampeyan wis ngerti?,4,4,1.0
We don't speak English at home.,Kita ora bisa ngomong basa Inggris ing omah.,6,8,0.75
It was not long before John had an idea.,Ora let suwe John duwe ide.,9,6,1.5
Tom is someone I really respect.,Tom iku wong sing tak hormati banget.,6,7,0.8571428571428571
Tom is someone I'll never forget.,Tom iku wong sing ora bakal tak lalekake.,6,8,0.75
Tom is someone I really look up to.,Tom iku wong sing tak kagumi banget.,8,7,1.1428571428571428
Tom looks a lot like someone I know.,Tom katon mirip banget karo wong sing tak kenal.,8,9,0.8888888888888888
Tom should have someone do that for him.,Tom kudune njaluk wong sing nindakake kuwi kanggo dheweke.,8,9,0.8888888888888888
It'll be easy to find someone to do that.,Gampang golek wong sing nindakake kuwi.,9,6,1.5
It'll be hard to find someone to do that.,Angel golek wong sing nindakake kuwi.,9,6,1.5
I'm looking for someone who can do that for me.,Aku nggoleki wong sing bisa nindakake kuwi kanggo aku.,10,9,1.1111111111111112
Tom is someone I really enjoy hanging out with.,Tom iku wong sing aku seneng banget diajak dolan bareng.,9,10,0.9
Tom says he saw someone climbing over the fence.,Tom kandha yen dheweke weruh wong menek pager.,9,8,1.125
How would you like it if someone did that to you?,Kepiye rasane yen ana wong sing nindakake kuwi marang kowe?,11,10,1.1
It'll be hard to find someone to do that for you.,Angel golek wong sing nindakake kuwi kanggo kowe.,11,8,1.375
It'll be difficult to find somebody to do that for you.,Angel golek wong sing nindakake kuwi kanggo kowe.,11,8,1.375
Tom says he has to find someone to help him do that.,Tom kandha yen dheweke kudu golek wong sing mbantu dheweke nindakake kuwi.,12,12,1.0
Tom married someone who was in prison for three years.,Tom omah-omah karo wong sing wis dipenjara telung taun.,10,9,1.1111111111111112
Tom married someone who had been in prison for three years.,Tom omah-omah karo wong sing wis dipenjara telung taun.,11,9,1.2222222222222223
It won't be hard to find someone to do that for you.,Ora bakal angel golek wong sing nindakake kuwi kanggo kowe.,12,10,1.2
It won't be difficult to find somebody to do that for you.,Ora bakal angel golek wong sing bisa nindakake kuwi kanggo kowe.,12,11,1.0909090909090908
It won't be easy to find someone to do that for you.,Ora bakal gampang golek wong sing bisa nindakake kuwi kanggo kowe.,12,11,1.0909090909090908
It'll be easy to find someone to do that for you.,Bakal gampang golek wong sing bisa nindakake kuwi kanggo kowe.,11,10,1.1
"Why does the world contain only baths for the body, not for the soul?","Kenapa jagad iki mung isine adus kanggo raga, dudu kanggo jiwa?",14,11,1.2727272727272727
"""Why does Tom always pluck at his right earlobe when he thinks?""","""Kenapa Tom tansah nyopot kuping tengene nalika mikir?""",12,8,1.5
"""Oh, that's one of his peculiarities.""","""Oh, kuwi salah sawijining keanehan dheweke.""",6,6,1.0
I am by nature majorly pessimistic.,Aku pancen pesimis banget.,6,4,1.5
Tom lived in a dream world.,Tom urip ing jagad impen.,6,5,1.2
"Often, as it were, only his body was among us, while his mind was quite somewhere else.","Asring, mung ragane sing ana ing antarane kita, dene pikirane ana ing papan liya.",17,14,1.2142857142857142
His dream worlds were more real to Tom than reality.,Donya impene luwih nyata kanggo Tom tinimbang kasunyatan.,10,8,1.25
Tom painted Mary with angel wings.,Tom nglukis Mary nganggo swiwi malaikat.,6,6,1.0
Is everyone the same?,Apa kabeh wong padha?,4,4,1.0
"The population of Japanese people is at least 300,000 fewer than last year.",Populasi wong Jepang paling ora 300.000 luwih sithik tinimbang taun kepungkur.,13,11,1.1818181818181819
"Hello, I am Taro.","Halo, aku Taro.",4,3,1.3333333333333333
Nice to meet you.,Seneng ketemu kowe.,4,3,1.3333333333333333
Tom stalked across the street without paying attention to traffic.,Tom mlaku nyabrang dalan tanpa nggatekake lalu lintas.,10,8,1.25
He thinks about cocks all the time.,Dhèwèké tansah mikir babagan pitik jago.,7,6,1.1666666666666667
She's my sister's friend.,Dhèwèké kancané adhiku wadon.,4,4,1.0
She gave blood in order to save her sister.,Dhèwèké nyumbang getih kanggo nylametaké adhiné wadon.,9,7,1.2857142857142858
He gave blood in order to save his brother.,Dhèwèké nyumbang getih kanggo nylametaké adhiné wadon.,9,7,1.2857142857142858
She gave blood in order to save her brother.,Dhèwèké nyumbang getih kanggo nylametaké adhiné lanang.,9,7,1.2857142857142858
She gave blood in order to save her sibling.,Dhèwèké nyumbang getih kanggo nylametaké adhiné lanang.,9,7,1.2857142857142858
He gave blood in order to save his sibling.,Dhèwèké nyumbang getih kanggo nylametaké adhiné lanang.,9,7,1.2857142857142858
You're a good sibling.,Kowé sedulur sing apik.,4,4,1.0
A nephew is the son of a sibling.,Keponakan lanang iku putrané sedulur lanang.,8,6,1.3333333333333333
A nephew is the son of a brother.,Keponakan lanang iku putrané sedulur lanang.,8,6,1.3333333333333333
A nephew is the son of a sister.,Keponakan wadon iku putrané adhi wadon.,8,6,1.3333333333333333
A niece is the daughter of a sibling.,Keponakan wadon iku putriné sedulur lanang.,8,6,1.3333333333333333
A niece is the daughter of a brother.,Keponakan wadon iku putriné sedulur lanang.,8,6,1.3333333333333333
A niece is the daughter of a sister.,Keponakan wadon iku putriné adhi wadon.,8,6,1.3333333333333333
A nibling is the child of a sibling.,Cicit iku anaké sedulur lanang.,8,5,1.6
You are the guardian angel of my solitude.,Kowé malaikat penjaga kasepenku.,8,4,2.0
Tom is now the spokesman for environmental groups.,Tom saiki dadi juru bicara kelompok lingkungan.,8,7,1.1428571428571428
The referee sent Tom off for unsportsmanlike behaviour.,Wasit ngusir Tom amarga tumindak ora sportif.,8,7,1.1428571428571428
Sisters should not quarrel.,Sadulur wadon ora kena padu.,4,5,0.8
Siblings should not quarrel.,Sadulur lanang ora kena padu.,4,5,0.8
Are you siblings?,Apa kowé sedulur lanang?,3,4,0.75
We are sisters.,Kita sedulur wadon.,3,3,1.0
We're sisters.,Kita sedulur wadon.,2,3,0.6666666666666666
We're siblings.,Kita sedulur lanang.,2,3,0.6666666666666666
The car's broken down.,Mobile rusak.,4,2,2.0
We can't go on.,Ora bisa diterusake.,4,3,1.3333333333333333
This dog is thirteen or fourteen years old.,Asu iki umure telulas utawa patbelas taun.,8,7,1.1428571428571428
The car is broken down.,Mobile rusak.,5,2,2.5
We can't go on.,Ora bisa diterusake.,4,3,1.3333333333333333
It's popularity is decreasing.,Popularine saya mudhun.,4,3,1.3333333333333333
Her mother was a singer.,Ibune penyanyi.,5,2,2.5
Her mother used to be a singer.,Ibune biyen penyanyi.,7,3,2.3333333333333335
All humans are created equal.,Kabeh manungsa diciptakake padha.,5,4,1.25
Boston is a mecca for lobster lovers.,Boston iku kiblat kanggo para penyayang lobster.,7,7,1.0
"My list of villains is getting shorter with every day I get older, and my register of fools more complete and longer.","Daftar penjahatku saya cendhak saben dina aku saya tuwa, lan daftar wong bodhoku saya lengkap lan dawa.",22,17,1.2941176470588236
You should have told your parents.,Kowe kudune ngandhani wong tuwamu.,6,5,1.2
You had to tell one of the adults.,Kowe kudu ngandhani salah siji wong diwasa.,8,7,1.1428571428571428
My sister works at a school for visually impaired children.,Adhiku wadon kerja ing sekolah kanggo bocah-bocah tunanetra.,10,8,1.25
"Tom believed in me, and I am grateful to him.","Tom percaya karo aku, lan aku matur nuwun marang dheweke.",10,10,1.0
"Tom is writing a book, but it does not have a title yet.","Tom lagi nulis buku, nanging durung duwe judhul.",13,8,1.625
"The child was born a month ago, but still has no name.","Anake lair sewulan kepungkur, nanging isih durung duwe jeneng.",12,9,1.3333333333333333
That costs a lot of money.,Kuwi butuh akeh dhuwit.,6,4,1.5
"We first spoke English, but then it turned out that Tom came from Austria, and we started talking German.","Sepisanan kita ngomong basa Inggris, nanging jebul Tom asale saka Austria, lan kita wiwit ngomong basa Jerman.",19,17,1.1176470588235294
All her husbands were Americans.,Kabeh bojone wong Amerika.,5,4,1.25
I eat little meat.,Aku mangan daging sithik.,4,4,1.0
We eat a lot of meat.,Kita mangan daging akeh.,6,4,1.5
They all asked why you were not there.,Kabeh padha takon kenapa kowe ora ana ing kono.,8,9,0.8888888888888888
I said you were gone.,Aku kandha kowe wis ora ana.,5,6,0.8333333333333334
I write gibberish.,Aku nulis omong kosong.,3,4,0.75
I write nonsense.,Aku nulis omong kosong.,3,4,0.75
Let me know when you're ready!,Kabari aku yen kowe wis siap!,6,6,1.0
Just say when you're ready!,Kandhaa wae yen kowe wis siap!,5,6,0.8333333333333334
There's talk that you got the job.,Ana omongan yen kowe entuk kerjaan.,7,6,1.1666666666666667
The word is that you got the job.,Kabare yaiku kowe entuk kerjaan.,8,5,1.6
"Finally, here's some good news!","Pungkasane, iki ana kabar apik!",5,5,1.0
Do you have a flat or a house?,Apa kowe duwe flat utawa omah?,8,6,1.3333333333333333
"My husband, my son and I each have a key to the flat.","Bojoku, anakku lanang lan aku duwe kunci flat kasebut.",13,9,1.4444444444444444
Tom was acquited because of lack of evidence.,Tom dibebasake amarga kurang bukti.,8,5,1.6
I do not want to go to the theater.,Aku ora pengin menyang teater.,9,5,1.8
I do not want to go anywhere.,Aku ora pengin menyang ngendi wae.,7,6,1.1666666666666667
"""How are you?""","""Kepiye kabarmu?""",3,2,1.5
"""Thank you, I'm already better.""","""Matur nuwun, aku wis luwih apik.""",5,6,0.8333333333333334
Haven't you forgotten anything?,Apa kowe ora lali apa-apa?,4,5,0.8
It seems that I have forgotten something.,Kayane aku lali apa-apa.,7,4,1.75
What for do you need a second bicycle?,Ngapa kowe butuh sepeda nomer loro?,8,6,1.3333333333333333
Give it to me!,Wenehna aku!,4,2,2.0
"""Tom and I went fishing.""","""Aku lan Tom mancing.""",5,4,1.25
"""Tom – you mean your brother?""","""Tom – maksudmu adhimu?""",6,4,1.5
This word is not in the dictionary.,Tembung iki ora ana ing kamus.,7,6,1.1666666666666667
The shorter the better.,Luwih cendhek luwih becik.,4,4,1.0
Is she coming by bus?,Apa dheweke teka numpak bis?,5,5,1.0
What do you prefer: cold coffee or stale beer?,Apa sing kokkarepake: kopi adhem utawa bir basi?,9,8,1.125
Sami was desperate for money.,Sami kepengin banget golek dhuwit.,5,5,1.0
Sami didn't want to kill anyone.,Sami ora pengin mateni sapa wae.,6,6,1.0
Sami just wanted money.,Sami mung pengin dhuwit.,4,4,1.0
Sami hurried back to his office.,Sami cepet-cepet bali menyang kantor.,6,5,1.2
Sami grabbed the money and left.,Sami njupuk dhuwit lan lunga.,6,5,1.2
Sami was always nervous.,Sami tansah gugup.,4,3,1.3333333333333333
Sami appeared at the counter.,Sami muncul ing konter.,5,4,1.25
Sami wanted to know what happened to Layla.,Sami pengin ngerti apa sing kedadeyan karo Layla.,8,8,1.0
Sami was another employee at Layla's store.,Sami minangka karyawan liyane ing toko Layla.,7,7,1.0
Sami prepared to leave.,Sami siyap-siyap lunga.,4,3,1.3333333333333333
Sami showed Layla where Salima was.,Sami nuduhake Layla ing ngendi Salima.,6,6,1.0
"If you follow me, I'll shoot.","Yen kowe ngetutake aku, aku bakal nembak.",6,7,0.8571428571428571
Sami hid the gun in the money.,Sami ndhelikake bedhil ing dhuwit.,7,5,1.4
Sami put the gun in the safe.,Sami nyelehake bedhil ing brankas.,7,5,1.4
Police let Sami go.,Polisi ngeculake Sami.,4,3,1.3333333333333333
Sami's victims saw his face.,Para korban Sami ndeleng raine.,5,5,1.0
The second sentence can be left as it is.,Ukara kapindho bisa ditinggal kaya asline.,9,6,1.5
Even for the mere flight of a butterfly all the sky is necessary.,"Sanajan mung kanggo mabure kupu-kupu, kabeh langit isih perlu.",13,9,1.4444444444444444
No thing is impossible for one who has no need to do it himself.,Ora ana sing mokal kanggo wong sing ora perlu nindakake dhewe.,14,11,1.2727272727272727
Judge for yourself!,Nimbang dhewe!,3,2,1.5
The heavens are opening.,Langit lagi mbukak.,4,3,1.3333333333333333
I'll take my leave.,Aku arep pamit.,4,3,1.3333333333333333
"""Can you identify this animal?""","""Apa kowe bisa ngenali kewan iki?""",5,6,0.8333333333333334
"""Sure!","""Ya!",1,1,1.0
"It's a camel!""","Iku unta!""",3,2,1.5
